step,cmacd-v2-relabel-run1-train/token_acc_step
1,0.7230078189985027
10,0.7173562321103305
20,0.7222608624498813
30,0.7416002167685996
40,0.7263646736193126
50,0.7437905297932216
60,0.768814569806852
70,0.7812316485925694
80,0.8018195370883584
90,0.8234899936611428
100,0.8421581769436998
110,0.8533226941648253
120,0.8621234605970667
130,0.8585600424073758
140,0.8649383018713737
150,0.8665963860992436
160,0.8610816303488766
170,0.869567004377222
180,0.8702619469660346
190,0.8722290169698823
200,0.8723603288020222
210,0.8715088261320746
220,0.876950428384998
230,0.872177765075736
240,0.8732041624602004
250,0.8727923017968151
260,0.8721670136297577
270,0.8768638671717579
280,0.874069304141345
290,0.8713154567835518
300,0.8750577613478833
310,0.879604148061747
320,0.8856900931414056
330,0.8765646022750438
340,0.8793409331118829
350,0.8817964487852721
360,0.8755072493321642
370,0.8786031042128604
380,0.8796913041481005
390,0.8706131585258614
400,0.8823417020138331
410,0.8802122714843492
420,0.8852048363873055
430,0.8822989209458942
440,0.875475599669148
450,0.8847209515096066
460,0.8838825421701654
470,0.877764665575393
480,0.8788970058648009
490,0.8834934979528628
500,0.8873872870978515
510,0.8862560934235666
520,0.8828134812643919
530,0.8787358664635585
540,0.8829440682316243
550,0.8797905525846702
560,0.8849046494552815
570,0.8822592381364432
580,0.887267069887774
590,0.8859052122956719
600,0.8829565884895865
610,0.8845156244999284
620,0.8851420476902495
630,0.8901133439409119
640,0.8891533022934989
650,0.8820253276460318
660,0.8908139858195467
670,0.892214044836582
680,0.8861956622917249
690,0.8884407298958676
700,0.883735271445876
710,0.8836908356535038
720,0.8872903616892301
730,0.8803077741625228
740,0.88771753380866
750,0.8893156190688847
760,0.8863771243593203
770,0.8880599862626879
780,0.8910945832664491
790,0.8865264888993304
800,0.8885260140710501
810,0.8875317057759419
820,0.8892334122478054
830,0.8889769838863886
840,0.8850769819259826
850,0.8875602029043895
860,0.8870475910075498
870,0.8809208072603705
880,0.8925688225234005
890,0.8922657723747642
900,0.8821947548910765
910,0.8899512899152083
920,0.8850455717272598
930,0.8892923064440884
940,0.8938968008735451
950,0.8855601781197081
960,0.8877215611217442
970,0.8867241083676269
980,0.8937876140555232
990,0.8897765681927923
1000,0.8919423591987626
1010,0.8881965428445815
1020,0.8827665993693714
1030,0.8885355029585799
1040,0.8843222985633978
1050,0.8908395315868176
1060,0.8885411331777917
1070,0.894519719110394
1080,0.8863960840301855
1090,0.8890961197288814
1100,0.891557413182256
1110,0.8926060451581385
1120,0.8894827182648045
1130,0.8894041627288511
1140,0.8944045203739168
1150,0.8881297668922548
1160,0.8932450222149086
1170,0.8897437682773987
1180,0.8968242962141173
1190,0.8905270259544408
1200,0.8892750852649186
1210,0.8894422496077203
1220,0.8906036015779899
1230,0.8889163118816972
1240,0.8898706099815157
1250,0.8884959008852452
1260,0.8814854452054794
1270,0.8935257701200865
1280,0.8879368279569892
1290,0.8958644495336718
1300,0.8923096670089482
1310,0.8955332725615315
1320,0.8927150401504739
