step,cmacd-v2-relabel-run1-train/loss_step
1,1.1992424726486206
10,1.2644726435343423
20,1.2093942642211917
30,1.1074493408203123
40,1.1854631423950197
50,1.0749512672424315
60,0.9175562858581544
70,0.8283845901489257
80,0.701200008392334
90,0.597744083404541
100,0.547466230392456
110,0.4809104442596436
120,0.4358897209167481
130,0.44744095802307127
140,0.4287069320678711
150,0.4238583564758301
160,0.43423938751220703
170,0.40842537879943847
180,0.38675723075866697
190,0.3900288581848145
200,0.3910141468048096
210,0.3940318107604981
220,0.37871253490448
230,0.3959463834762573
240,0.3879867553710938
250,0.3869607925415039
260,0.39162144660949705
270,0.37723479270935056
280,0.3762094974517822
290,0.38653571605682374
300,0.38250343799591063
310,0.3586487054824829
320,0.34256706237792967
330,0.3677234649658203
340,0.365733551979065
350,0.3570444345474243
360,0.37663419246673585
370,0.3600696325302124
380,0.35730555057525637
390,0.3887078046798706
400,0.35118827819824217
410,0.34750072956085204
420,0.3413769483566284
430,0.3436861753463745
440,0.36986100673675537
450,0.34077775478363037
460,0.3425758838653564
470,0.3709412097930908
480,0.3572908878326416
490,0.35792319774627684
500,0.3263129711151123
510,0.3340377569198608
520,0.349145770072937
530,0.35978100299835203
540,0.3503807783126831
550,0.3549593448638916
560,0.3373488664627075
570,0.3518777847290039
580,0.33190293312072755
590,0.3320681095123291
600,0.3455524206161499
610,0.32697372436523436
620,0.33452801704406737
630,0.3183734893798828
640,0.3272883892059326
650,0.34375619888305664
660,0.32644388675689695
670,0.3037333250045776
680,0.33657259941101075
690,0.3248727798461914
700,0.3402752161026001
710,0.34631211757659913
720,0.3280287742614746
730,0.3568974494934082
740,0.32557058334350586
750,0.3354085206985474
760,0.32986400127410886
770,0.3298612594604492
780,0.312004542350769
790,0.3337775707244873
800,0.3247864007949829
810,0.3102552890777588
820,0.32976088523864744
830,0.3244472980499268
840,0.33547325134277345
850,0.33383355140686033
860,0.33371264934539796
870,0.3661706209182739
880,0.313952374458313
890,0.311680006980896
900,0.3473499298095703
910,0.33240652084350586
920,0.3386781454086304
930,0.32206580638885496
940,0.3087209939956665
950,0.3335240602493286
960,0.32682859897613525
970,0.3329517126083374
980,0.3101372003555298
990,0.328312349319458
1000,0.3188464879989624
1010,0.33643765449523927
1020,0.34855079650878906
1030,0.3282668113708496
1040,0.3362586259841919
1050,0.3206089973449707
1060,0.32619800567626955
1070,0.30884275436401365
1080,0.33133533000946047
1090,0.3260831832885742
1100,0.32286269664764405
1110,0.31600341796875
1120,0.3185674428939819
1130,0.32637910842895507
1140,0.3063439130783081
1150,0.3300411462783813
1160,0.30090904235839844
1170,0.3268564462661743
1180,0.2946131467819214
1190,0.32220940589904784
1200,0.3197942733764648
1210,0.31228349208831785
1220,0.32237744331359863
1230,0.3256735324859619
1240,0.31792938709259033
1250,0.3327045917510986
1260,0.34496021270751953
1270,0.30744385719299316
1280,0.32475786209106444
1290,0.30076072216033933
1300,0.3266643524169922
1310,0.30368800163269044
1320,0.3172212839126587
1330,0.29866578578948977
1340,0.31859066486358645
1350,0.3048570156097412
1360,0.3107863187789917
1370,0.33458695411682127
1380,0.31961634159088137
1390,0.31476926803588867
1400,0.31813294887542726
1410,0.30157763957977296
1420,0.2990705966949463
1430,0.3141237735748291
1440,0.3030052423477173
1450,0.30660123825073243
1460,0.3011125326156616
1470,0.3039660930633545
1480,0.30196945667266845
1490,0.29864821434020994
1500,0.3242145776748657
1510,0.31009678840637206
1520,0.3056666612625122
1530,0.3139749765396118
1540,0.30634512901306155
1550,0.31644814014434813
1560,0.2934391975402832
1570,0.3153662919998169
1580,0.31680896282196047
1590,0.29429495334625244
1600,0.35274817943573
1610,0.3188632011413574
1620,0.2985027313232422
1630,0.3047422647476196
1640,0.3042097330093384
1650,0.30620315074920657
1660,0.32649333477020265
1670,0.31746888160705566
1680,0.3123506546020508
1690,0.30781853199005127
1700,0.31542742252349854
1710,0.3246107816696167
1720,0.30574588775634765
1730,0.29798786640167235
1740,0.2989163637161255
1750,0.2912070989608765
1760,0.29343130588531496
1770,0.28327264785766604
1780,0.3140369176864624
1790,0.3032655715942383
1800,0.3080652952194214
1810,0.30967249870300295
1820,0.30428500175476075
1830,0.3015331268310547
1840,0.30186102390289304
1850,0.30157055854797366
1860,0.3014359951019287
1870,0.303424596786499
1880,0.31326446533203123
1890,0.31177029609680174
